"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2008","Estonia","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Estonia","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Estonia","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Estonia","Total","Total","Total","Rejected","Person","0",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Total","Total","Person","2,425",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","285",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","285",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Ireland","Extra-EU28 (current composition)","Total","Total","Rejected","Person","2,140",""
"2008","Ireland","Total","Total","Total","Total","Person","2,460",""
"2008","Ireland","Total","Total","Total","Total positive decisions","Person","295",""
"2008","Ireland","Total","Total","Total","Geneva Convention status","Person","295",""
"2008","Ireland","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Ireland","Total","Total","Total","Rejected","Person","2,165",""
"2008","Greece","Extra-EU28 (current composition)","Total","Total","Total","Person","1,340",""
"2008","Greece","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","360",""
"2008","Greece","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","345",""
"2008","Greece","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","15",""
"2008","Greece","Extra-EU28 (current composition)","Total","Total","Rejected","Person","980",""
"2008","Greece","Total","Total","Total","Total","Person","1,340",""
"2008","Greece","Total","Total","Total","Total positive decisions","Person","360",""
"2008","Greece","Total","Total","Total","Geneva Convention status","Person","345",""
"2008","Greece","Total","Total","Total","Humanitarian status","Person","15",""
"2008","Greece","Total","Total","Total","Rejected","Person","980",""
"2008","Spain","Extra-EU28 (current composition)","Total","Total","Total","Person","1,140",""
"2008","Spain","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","30",""
"2008","Spain","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","20",""
"2008","Spain","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Spain","Extra-EU28 (current composition)","Total","Total","Rejected","Person","1,110",""
"2008","Spain","Total","Total","Total","Total","Person","1,140",""
"2008","Spain","Total","Total","Total","Total positive decisions","Person","30",""
"2008","Spain","Total","Total","Total","Geneva Convention status","Person","20",""
"2008","Spain","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Spain","Total","Total","Total","Rejected","Person","1,110",""
"2008","France","Extra-EU28 (current composition)","Total","Total","Total","Person","24,340",""
"2008","France","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","6,315",""
"2008","France","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","5,190",""
"2008","France","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","France","Extra-EU28 (current composition)","Total","Total","Rejected","Person","18,025",""
"2008","France","Total","Total","Total","Total","Person","24,350",""
"2008","France","Total","Total","Total","Total positive decisions","Person","6,320",""
"2008","France","Total","Total","Total","Geneva Convention status","Person","5,190",""
"2008","France","Total","Total","Total","Humanitarian status","Person",":",""
"2008","France","Total","Total","Total","Rejected","Person","18,030",""
"2008","Croatia","Extra-EU28 (current composition)","Total","Total","Total","Person",":",""
"2008","Croatia","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person",":",""
"2008","Croatia","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person",":",""
"2008","Croatia","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Croatia","Extra-EU28 (current composition)","Total","Total","Rejected","Person",":",""
"2008","Croatia","Total","Total","Total","Total","Person",":",""
"2008","Croatia","Total","Total","Total","Total positive decisions","Person",":",""
"2008","Croatia","Total","Total","Total","Geneva Convention status","Person",":",""
"2008","Croatia","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Croatia","Total","Total","Total","Rejected","Person",":",""
"2008","Italy","Extra-EU28 (current composition)","Total","Total","Total","Person","30",""
"2008","Italy","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Italy","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
